"","PFC","Subcortical","COMT.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"1","Dorsal_ACC","Accum",-1.073,-0.015,0,0.225431341820661,0.0395200031628516,0.146391335494957,0.304471348146364,-0.0249261050626284,0.475788788703949
"2","InferiorFrontalGyrus","Accum",-1.073,-0.015,0,0.138795992812983,0.0395200031628533,0.0597559864872765,0.21783599913869,-0.111561454070307,0.389153439696273
"3","Lateral_OFC","Accum",-1.073,-0.015,0,0.172784936692611,0.0395200031628533,0.0937449303669045,0.251824943018318,-0.0775725101906789,0.423142383575901
"4","Medial_OFC","Accum",-1.073,-0.015,0,0.21925569284249,0.0395200031628532,0.140215686516783,0.298295699168196,-0.0311017540408002,0.46961313972578
"5","MiddleFrontalGyrus","Accum",-1.073,-0.015,0,0.133008404109012,0.0395200031628533,0.0539683977833058,0.212048410434719,-0.117349042774278,0.383365850992302
"6","SuperiorFrontalGyrus","Accum",-1.073,-0.015,0,0.177980223955282,0.0395200031628533,0.0989402176295758,0.257020230280989,-0.0723772229280076,0.428337670838572
"7","Ventral_ACC","Accum",-1.073,-0.015,0,0.302665675461681,0.0395200031628532,0.223625669135974,0.381705681787387,0.052308228578391,0.553023122344971
"8","Dorsal_ACC","Caudate",-1.073,-0.015,0,0.260737677399914,0.0395200031628533,0.181697671074207,0.339777683725621,0.0103802305166242,0.511095124283204
"9","InferiorFrontalGyrus","Caudate",-1.073,-0.015,0,0.181911372264851,0.0395200031628532,0.102871365939144,0.260951378590557,-0.0684460746184392,0.432268819148141
"10","Lateral_OFC","Caudate",-1.073,-0.015,0,0.210432189393265,0.0395200031628532,0.131392183067559,0.289472195718972,-0.0399252574900245,0.460789636276555
"11","Medial_OFC","Caudate",-1.073,-0.015,0,0.174343653675348,0.0395200031628532,0.0953036473496419,0.253383660001055,-0.0760137932079416,0.424701100558638
"12","MiddleFrontalGyrus","Caudate",-1.073,-0.015,0,0.172721557811744,0.0395200031628532,0.093681551486038,0.251761564137451,-0.0776358890715455,0.423079004695034
"13","SuperiorFrontalGyrus","Caudate",-1.073,-0.015,0,0.223831981161646,0.0395200031628532,0.14479197483594,0.302871987487353,-0.0265254657216435,0.474189428044936
"14","Ventral_ACC","Caudate",-1.073,-0.015,0,0.286645453996857,0.0395200031628532,0.207605447671151,0.365685460322564,0.0362880071135676,0.537002900880147
"15","Dorsal_ACC","Putamen",-1.073,-0.015,0,0.35073001394449,0.0395200031628533,0.271690007618784,0.429770020270197,0.1003725670612,0.60108746082778
"16","InferiorFrontalGyrus","Putamen",-1.073,-0.015,0,0.26452950991426,0.0395200031628532,0.185489503588553,0.343569516239966,0.0141720630309699,0.51488695679755
"17","Lateral_OFC","Putamen",-1.073,-0.015,0,0.207486010178671,0.0395200031628532,0.128446003852965,0.286526016504377,-0.0428714367046189,0.457843457061961
"18","Medial_OFC","Putamen",-1.073,-0.015,0,0.196810424854883,0.0395200031628532,0.117770418529176,0.275850431180589,-0.0535470220284074,0.447167871738172
"19","MiddleFrontalGyrus","Putamen",-1.073,-0.015,0,0.154149455499171,0.0395200031628532,0.0751094491734642,0.233189461824877,-0.0962079913841193,0.40450690238246
"20","SuperiorFrontalGyrus","Putamen",-1.073,-0.015,0,0.20804170962937,0.0395200031628532,0.129001703303664,0.287081715955077,-0.0423157372539195,0.45839915651266
"21","Ventral_ACC","Putamen",-1.073,-0.015,0,0.185605743906201,0.0395200031628532,0.106565737580495,0.264645750231908,-0.0647517029770885,0.435963190789491
"22","Dorsal_ACC","Accum",-0.073,-0.015,0,0.237487695023403,0.0239391808210015,0.1896093333814,0.285366056665406,-0.00484238177985694,0.479817771826664
"23","InferiorFrontalGyrus","Accum",-0.073,-0.015,0,0.159726632940099,0.023939180821003,0.111848271298093,0.207604994582105,-0.0826034438631617,0.40205670974336
"24","Lateral_OFC","Accum",-0.073,-0.015,0,0.183451363665149,0.023939180821003,0.135573002023143,0.231329725307155,-0.0588787131381124,0.425781440468409
"25","Medial_OFC","Accum",-0.073,-0.015,0,0.212036333651194,0.023939180821003,0.164157972009188,0.2599146952932,-0.0302937431520668,0.454366410454455
"26","MiddleFrontalGyrus","Accum",-0.073,-0.015,0,0.130902960492532,0.023939180821003,0.0830245988505256,0.178781322134538,-0.111427116310729,0.373233037295792
"27","SuperiorFrontalGyrus","Accum",-0.073,-0.015,0,0.17840016982301,0.023939180821003,0.130521808181004,0.226278531465016,-0.0639299069802513,0.42073024662627
"28","Ventral_ACC","Accum",-0.073,-0.015,0,0.311275556520742,0.023939180821003,0.263397194878736,0.359153918162748,0.0689454797174816,0.553605633324003
"29","Dorsal_ACC","Caudate",-0.073,-0.015,0,0.242392894168473,0.0239391808210031,0.194514532526467,0.290271255810479,6.28173652120756e-05,0.484722970971734
"30","InferiorFrontalGyrus","Caudate",-0.073,-0.015,0,0.175823059019909,0.0239391808210031,0.127944697377903,0.223701420661915,-0.0665070177833523,0.41815313582317
"31","Lateral_OFC","Caudate",-0.073,-0.015,0,0.192427368372666,0.0239391808210031,0.144549006730659,0.240305730014672,-0.0499027084305954,0.434757445175926
"32","Medial_OFC","Caudate",-0.073,-0.015,0,0.162279200802338,0.0239391808210031,0.114400839160332,0.210157562444345,-0.0800508760009225,0.404609277605599
"33","MiddleFrontalGyrus","Caudate",-0.073,-0.015,0,0.163338681701168,0.0239391808210031,0.115460320059162,0.211217043343174,-0.0789913951020931,0.405668758504429
"34","SuperiorFrontalGyrus","Caudate",-0.073,-0.015,0,0.202602561956543,0.0239391808210031,0.154724200314537,0.250480923598549,-0.0397275148467181,0.444932638759804
"35","Ventral_ACC","Caudate",-0.073,-0.015,0,0.264381490895132,0.0239391808210031,0.216503129253126,0.312259852537138,0.0220514140918713,0.506711567698393
"36","Dorsal_ACC","Putamen",-0.073,-0.015,0,0.424426078303703,0.0239391808210031,0.376547716661697,0.472304439945709,0.182096001500442,0.666756155106964
"37","InferiorFrontalGyrus","Putamen",-0.073,-0.015,0,0.302922008608985,0.0239391808210031,0.255043646966979,0.350800370250991,0.0605919318057238,0.545252085412246
"38","Lateral_OFC","Putamen",-0.073,-0.015,0,0.219992954868958,0.0239391808210031,0.172114593226952,0.267871316510964,-0.0223371219343031,0.462323031672219
"39","Medial_OFC","Putamen",-0.073,-0.015,0,0.185463341076391,0.0239391808210031,0.137584979434385,0.233341702718397,-0.0568667357268698,0.427793417879652
"40","MiddleFrontalGyrus","Putamen",-0.073,-0.015,0,0.169752962934248,0.0239391808210031,0.121874601292242,0.217631324576254,-0.0725771138690129,0.412083039737509
"41","SuperiorFrontalGyrus","Putamen",-0.073,-0.015,0,0.232509030084923,0.0239391808210031,0.184630668442917,0.280387391726929,-0.00982104671833811,0.474839106888184
"42","Ventral_ACC","Putamen",-0.073,-0.015,0,0.258881347524009,0.0239391808210031,0.211002985882003,0.306759709166015,0.0165512707207481,0.50121142432727
"43","Dorsal_ACC","Accum",0.927,-0.015,0,0.249544048226146,0.0400134764553869,0.169517095315372,0.32957100113692,-0.00112673547657177,0.500214831928864
"44","InferiorFrontalGyrus","Accum",0.927,-0.015,0,0.180657273067215,0.0400134764553891,0.100630320156437,0.260684225977993,-0.0700135106355043,0.431328056769935
"45","Lateral_OFC","Accum",0.927,-0.015,0,0.194117790637686,0.0400134764553891,0.114090837726908,0.274144743548464,-0.0565529930650334,0.444788574340405
"46","Medial_OFC","Accum",0.927,-0.015,0,0.204816974459898,0.0400134764553891,0.12479002154912,0.284843927370677,-0.0458538092428209,0.455487758162618
"47","MiddleFrontalGyrus","Accum",0.927,-0.015,0,0.128797516876051,0.0400134764553891,0.0487705639652726,0.208824469786829,-0.121873266826669,0.37946830057877
"48","SuperiorFrontalGyrus","Accum",0.927,-0.015,0,0.178820115690737,0.0400134764553891,0.0987931627799584,0.258847068601515,-0.0718506680119827,0.429490899393456
"49","Ventral_ACC","Accum",0.927,-0.015,0,0.319885437579804,0.040013476455389,0.239858484669026,0.399912390490582,0.0692146538770848,0.570556221282523
"50","Dorsal_ACC","Caudate",0.927,-0.015,0,0.224048110937032,0.0400134764553892,0.144021158026253,0.30407506384781,-0.0266226727656876,0.474718894639751
"51","InferiorFrontalGyrus","Caudate",0.927,-0.015,0,0.169734745774967,0.0400134764553891,0.0897077928641885,0.249761698685745,-0.0809360379277528,0.420405529477686
"52","Lateral_OFC","Caudate",0.927,-0.015,0,0.174422547352066,0.0400134764553891,0.0943955944412875,0.254449500262844,-0.0762482363506537,0.425093331054785
"53","Medial_OFC","Caudate",0.927,-0.015,0,0.150214747929329,0.0400134764553891,0.0701877950185505,0.230241700840107,-0.100456035773391,0.400885531632048
"54","MiddleFrontalGyrus","Caudate",0.927,-0.015,0,0.153955805590591,0.0400134764553891,0.073928852679813,0.233982758501369,-0.0967149781121282,0.40462658929331
"55","SuperiorFrontalGyrus","Caudate",0.927,-0.015,0,0.181373142751439,0.0400134764553891,0.101346189840661,0.261400095662217,-0.0692976409512801,0.432043926454159
"56","Ventral_ACC","Caudate",0.927,-0.015,0,0.242117527793407,0.0400134764553891,0.162090574882629,0.322144480704185,-0.00855325590931222,0.492788311496126
"57","Dorsal_ACC","Putamen",0.927,-0.015,0,0.498122142662916,0.0400134764553892,0.418095189752138,0.578149095573695,0.247451358960197,0.748792926365636
