"","PFC","Subcortical","MAOA.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"1","Dorsal_ACC","Accum",-1.273,-0.015,0,0.244788259484349,0.0403278727060316,0.164132514072286,0.325444004896412,-0.000431398387408299,0.490007917356106
"2","InferiorFrontalGyrus","Accum",-1.273,-0.015,0,0.141104182995369,0.0403278727060319,0.0604484375833057,0.221759928407433,-0.104115474876388,0.386323840867127
"3","Lateral_OFC","Accum",-1.273,-0.015,0,0.157477941402874,0.0403278727060319,0.07682219599081,0.238133686814938,-0.0877417164688836,0.402697599274631
"4","Medial_OFC","Accum",-1.273,-0.015,0,0.203031120262564,0.0403278727060319,0.1223753748505,0.283686865674628,-0.0421885376091935,0.448250778134321
"5","MiddleFrontalGyrus","Accum",-1.273,-0.015,0,0.0965556505161387,0.0403278727060319,0.015899905104075,0.177211395928203,-0.148664007355619,0.341775308387896
"6","SuperiorFrontalGyrus","Accum",-1.273,-0.015,0,0.154976335344837,0.0403278727060319,0.0743205899327731,0.235632080756901,-0.0902433225269205,0.400195993216594
"7","Ventral_ACC","Accum",-1.273,-0.015,0,0.290735215549532,0.0403278727060319,0.210079470137468,0.371390960961595,0.0455155576777743,0.535954873421289
"8","Dorsal_ACC","Caudate",-1.273,-0.015,0,0.307282756808704,0.040327872706032,0.22662701139664,0.387938502220768,0.0620630989369464,0.552502414680461
"9","InferiorFrontalGyrus","Caudate",-1.273,-0.015,0,0.201442486209278,0.0403278727060321,0.120786740797214,0.282098231621342,-0.0437771716624795,0.446662144081035
"10","Lateral_OFC","Caudate",-1.273,-0.015,0,0.212517435407783,0.0403278727060321,0.131861689995719,0.293173180819847,-0.0327022224639745,0.45773709327954
"11","Medial_OFC","Caudate",-1.273,-0.015,0,0.179387659708058,0.0403278727060321,0.098731914295994,0.260043405120122,-0.0658319981636993,0.424607317579816
"12","MiddleFrontalGyrus","Caudate",-1.273,-0.015,0,0.165182612589944,0.0403278727060321,0.08452686717788,0.245838358002008,-0.0800370452818133,0.410402270461702
"13","SuperiorFrontalGyrus","Caudate",-1.273,-0.015,0,0.221325265927366,0.0403278727060321,0.140669520515302,0.30198101133943,-0.0238943919443917,0.466544923799123
"14","Ventral_ACC","Caudate",-1.273,-0.015,0,0.317736018373726,0.0403278727060321,0.237080272961662,0.39839176378579,0.0725163605019685,0.562955676245483
"15","Dorsal_ACC","Putamen",-1.273,-0.015,0,0.359155029044354,0.040327872706032,0.27849928363229,0.439810774456418,0.113935371172596,0.604374686916111
"16","InferiorFrontalGyrus","Putamen",-1.273,-0.015,0,0.232833844641137,0.0403278727060321,0.152178099229073,0.313489590053201,-0.0123858132306204,0.478053502512895
"17","Lateral_OFC","Putamen",-1.273,-0.015,0,0.1720638707909,0.0403278727060321,0.0914081253788358,0.252719616202964,-0.0731557870808575,0.417283528662657
"18","Medial_OFC","Putamen",-1.273,-0.015,0,0.145263142517283,0.0403278727060321,0.0646073971052184,0.225918887929347,-0.0999565153544749,0.39048280038904
"19","MiddleFrontalGyrus","Putamen",-1.273,-0.015,0,0.115520112450963,0.0403278727060321,0.0348643670388986,0.196175857863027,-0.129699545420795,0.36073977032272
"20","SuperiorFrontalGyrus","Putamen",-1.273,-0.015,0,0.16542779320774,0.0403278727060321,0.0847720477956755,0.246083538619804,-0.0797918646640178,0.410647451079497
"21","Ventral_ACC","Putamen",-1.273,-0.015,0,0.198300949622485,0.0403278727060321,0.117645204210421,0.278956695034549,-0.0469187082492728,0.443520607494242
"22","Dorsal_ACC","Accum",-0.273,-0.015,0,0.234893211818371,0.023936074197959,0.187021063422453,0.282765360214289,-0.00157893015781788,0.47136535379456
"23","InferiorFrontalGyrus","Accum",-0.273,-0.015,0,0.155589317653843,0.0239360741979594,0.107717169257924,0.203461466049762,-0.0808828243223462,0.392061459630032
"24","Lateral_OFC","Accum",-0.273,-0.015,0,0.178540836451805,0.0239360741979594,0.130668688055886,0.226412984847724,-0.0579313055243841,0.415012978427994
"25","Medial_OFC","Accum",-0.273,-0.015,0,0.209526933337798,0.0239360741979594,0.161654784941879,0.257399081733716,-0.0269452086383915,0.445999075313987
"26","MiddleFrontalGyrus","Accum",-0.273,-0.015,0,0.124451830199475,0.0239360741979594,0.076579681803556,0.172323978595394,-0.112020311776714,0.360923972175664
"27","SuperiorFrontalGyrus","Accum",-0.273,-0.015,0,0.17362488285634,0.0239360741979594,0.125752734460421,0.221497031252259,-0.0628472591198491,0.410097024832529
